x,y
1,13
12,4
0,11
4,4
12,12
3,11
13,6
6,10
3,19
7,16
14,6
17,17
9,5
14,16
7,14
15,10
7,17
0,14
6,17
12,8
8,10
6,7
17,6
16,5
1,19
4,8
4,0
2,5
18,3
10,16
8,18
