PosX, PosY
1,19
5,19
14,14
12,0
14,6
8,13
6,19
11,14
4,2
19,9
13,8
4,0
7,0
2,4
2,1
0,4
17,1
18,1
7,18
10,3
0,11
15,4
15,3
13,0
7,3
13,7
15,6
6,13
1,3
2,12
12,12
6,2
5,12
13,13
10,10
0,0
1,0
1,6
3,7
1,9
9,15
