PosX, PosY
6,4
19,16
19,2
0,4
10,3
13,13
1,19
6,19
2,17
3,7
5,19
11,14
12,0
18,1
5,12
12,12
1,18
18,2
4,7
13,7
13,0
13,8
14,3
8,19
17,1
7,0
15,10
18,3
7,18
16,17
14,14
15,6
3,19
17,4
15,4
13,9
9,15
