PosX, PosY
2,7
4,7
8,19
10,6
14,14
13,13
15,6
12,12
6,13
19,16
13,9
2,12
19,13
13,7
0,4
1,9
12,0
1,13
17,9
19,9
2,17
15,3
6,19
10,3
14,3
5,19
1,18
13,0
18,2
5,12
19,6
4,2
18,10
8,13
19,17
11,14
18,1
17,1
7,18
9,15
