PosX, PosY
12,4
7,18
7,0
7,14
8,15
8,18
19,13
17,17
2,12
16,17
13,0
14,14
19,17
0,11
0,4
15,6
19,6
17,15
3,19
15,3
10,3
13,8
7,16
8,19
8,13
13,13
7,17
19,9
6,13
4,7
9,16
17,1
6,19
19,16
12,16
5,12
11,14
12,0
13,7
14,16
2,4
18,1
9,15
