PosX, PosY
13,13
0,4
9,6
18,1
13,9
18,10
13,8
19,9
16,13
17,13
19,13
4,2
17,15
7,18
17,9
16,17
19,17
17,17
14,16
6,19
19,6
19,16
8,15
12,0
2,12
11,14
8,13
5,12
13,0
12,16
17,1
15,3
14,14
9,15
