PosX, PosY
1,0
0,0
6,19
6,17
19,9
0,4
17,13
13,7
17,15
12,16
1,6
19,16
14,14
11,14
7,0
18,10
14,16
8,15
15,6
19,17
9,16
0,11
17,9
2,12
12,0
13,0
17,17
6,13
13,8
16,13
16,17
19,13
8,19
7,14
8,13
13,13
9,15
