PosX, PosY
6,10
7,7
6,7
5,8
4,8
4,7
3,7
2,7
1,6
2,5
2,3
2,1
1,0
0,0
4,0
4,4
5,4
6,2
7,3
9,5
9,6
10,6
12,4
13,3
14,3
15,3
18,2
19,2
18,3
17,4
17,6
16,5
15,4
14,6
13,6
12,8
13,9
15,10
17,9
16,13
17,17
16,17
14,16
13,13
12,12
11,14
10,16
9,16
8,15
7,14
7,16
8,18
8,19
7,18
7,17
6,17
3,19
1,19
1,18
2,17
0,14
0,11
1,13
15,6
9,7
0,4
5,19
6,13
6,4
19,17
3,11
5,12
8,13
17,15
19,6
11,6
17,13
19,16
19,13
14,14
10,10
13,8
13,7
10,3
2,12
1,9
18,1
2,4
19,9
4,2
7,0
17,1
12,16
1,3
13,0
18,10
12,0
6,19
9,15
