PosX, PosY
2,3
1,3
2,12
2,7
2,1
13,0
9,7
1,6
11,6
6,13
5,12
7,3
12,0
19,6
4,0
4,7
8,13
4,2
6,4
6,10
15,3
18,1
7,0
6,2
19,16
1,0
0,4
3,7
7,18
1,9
0,0
10,6
13,7
9,15
