PosX, PosY
1,0
0,0
6,19
17,15
8,15
4,7
14,14
13,9
0,11
19,13
8,13
1,9
7,18
14,16
6,13
17,13
13,8
16,13
17,17
19,9
13,0
12,16
19,16
17,9
12,0
11,14
4,2
15,6
10,3
18,10
19,17
15,3
5,12
5,19
15,10
15,4
16,17
9,15
