PosX, PosY
17,9
7,16
13,13
4,7
5,12
16,13
1,19
11,14
5,19
4,2
15,3
19,13
6,19
19,16
8,13
1,9
2,17
14,14
13,8
12,12
2,12
1,6
0,11
18,10
15,6
13,7
3,7
3,19
13,0
15,4
19,9
1,18
13,9
10,3
8,15
10,10
12,0
12,16
9,15
