PosX, PosY
12,12
15,10
17,9
18,10
19,9
19,6
16,13
17,13
19,13
17,17
14,16
12,16
17,15
19,17
19,16
16,17
3,11
1,9
4,7
3,7
6,13
8,13
11,14
13,9
13,7
15,4
15,3
12,0
13,0
10,3
17,1
18,1
15,6
5,19
6,19
7,18
5,12
2,12
14,14
13,13
13,8
0,4
4,2
9,15
