Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1676082,10,10
187,0.3399604,10,10
282,0.5760047,10,10
336,0.6635343,10,10
427,0.7833466,10,10
469,0.8700516,10,10
551,1.109692,10,10
591,1.19949,10,10
642,1.290714,10,10
731,1.559778,10,10
807,1.752102,10,10
887,1.839337,10,10
980,2.032547,10,10
1072,2.15368,10,10
1170,2.417213,10,10
1236,2.537412,10,10
1275,2.621069,10,10
1322,2.810291,10,10
1391,3.077145,10,10
1451,3.166499,10,10
1522,3.290349,10,10
1574,3.48422,10,10
1607,3.57431,10,10
1675,3.947672,10,10
1738,4.037797,10,10
1811,4.12369,10,10
1908,4.316169,10,10
1939,4.405206,10,10
1992,4.528891,10,10
2028,4.615148,10,10
2090,4.785602,10,10
2186,4.978986,10,10
2235,5.221699,10,10
2263,5.344489,10,10
2306,5.59613,10,10
2367,6.185301,10,10
2413,6.273635,10,10
2463,6.867476,10,10
2495,6.995564,10,10
2567,7.422679,10,10
2637,7.613979,10,10
2724,7.732193,10,10
2818,8.163399,10,10
2882,8.249845,10,10
2937,8.368565,10,10
3015,8.556764,10,10
3103,8.857698,10,10
3189,8.944714,10,10
3268,9.030849,10,10
3368,9.223406,10,10
3405,9.313237,10,10
3504,9.620147,10,10
3569,9.710392,10,10
3653,9.953201,10,10
