Score, Time, FirstTargetPosX, FirstTargetPosY
90,0.1676472,8,10
174,0.5116633,8,10
212,0.6311481,8,10
291,0.7520611,8,10
379,0.8708916,8,10
465,0.959096,8,10
502,1.146046,8,10
602,1.237701,8,10
667,1.424096,8,10
766,1.513197,8,10
810,1.683776,8,10
893,1.857428,8,10
908,2.046252,8,10
989,2.135729,8,10
1023,2.30576,8,10
1041,2.39415,8,10
1086,2.584005,8,10
1143,2.824307,8,10
1202,3.092623,8,10
1260,3.363502,8,10
1327,3.447168,8,10
1412,3.710699,8,10
1460,3.898167,8,10
1553,4.248002,8,10
1645,4.366986,8,10
1701,4.542982,8,10
1767,4.877322,8,10
1865,4.998005,8,10
1904,5.090494,8,10
1951,5.283234,8,10
2020,5.551245,8,10
2080,5.639832,8,10
2151,5.762524,8,10
2175,6.19318,8,10
2264,6.313573,8,10
2340,6.503005,8,10
2392,6.669744,8,10
2425,6.760381,8,10
2507,6.878936,8,10
2547,6.967077,8,10
2598,7.054662,8,10
2640,7.22204,8,10
2731,7.311791,8,10
2799,7.569863,8,10
2862,7.667532,8,10
2935,7.757155,8,10
2971,7.944142,8,10
3068,8.112536,8,10
3118,8.282576,8,10
3143,8.455873,8,10
3238,8.54865,8,10
3292,8.63271,8,10
3369,8.820205,8,10
3444,9.087399,8,10
3514,9.338567,8,10
3601,9.45789,8,10
3656,9.765788,8,10
3720,9.883654,8,10
