Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1736398,10,10
187,0.3453054,10,10
196,0.533678,10,10
271,0.7205868,10,10
276,0.8454341,10,10
348,1.033114,10,10
418,1.223132,10,10
505,1.345515,10,10
569,1.69258,10,10
663,1.777195,10,10
741,1.950707,10,10
829,2.254705,10,10
833,2.375313,10,10
933,2.464379,10,10
1012,2.655794,10,10
1077,2.825869,10,10
1176,2.915308,10,10
1220,3.082556,10,10
1303,3.25296,10,10
1377,3.630607,10,10
1466,3.964861,10,10
1490,4.089954,10,10
1575,4.280058,10,10
1634,4.534297,10,10
1682,4.652318,10,10
1774,4.906285,10,10
1872,5.176135,10,10
1938,5.296321,10,10
1977,5.386305,10,10
2024,5.574734,10,10
2117,5.697497,10,10
2152,5.816436,10,10
2221,5.938959,10,10
2281,6.024827,10,10
2352,6.149417,10,10
2432,6.38718,10,10
2508,6.473578,10,10
2560,6.644758,10,10
2593,6.73091,10,10
2633,6.819098,10,10
2715,6.905072,10,10
2766,7.078667,10,10
2808,7.254015,10,10
2899,7.338448,10,10
2953,7.456493,10,10
3048,7.542383,10,10
3073,7.632522,10,10
3123,7.806023,10,10
3220,7.977994,10,10
3273,8.165003,10,10
3309,8.250315,10,10
3340,8.334527,10,10
3372,8.525988,10,10
3378,8.714245,10,10
3439,9.051684,10,10
3485,9.138535,10,10
3547,9.259979,10,10
3643,9.449328,10,10
3686,9.706072,10,10
3735,9.89743,10,10
