Score, Time, FirstTargetPosX, FirstTargetPosY
90,0.1670858,8,10
167,0.3370413,8,10
242,0.6066586,8,10
269,0.9145246,8,10
278,1.036336,8,10
362,1.275708,8,10
400,1.396681,8,10
488,1.638042,8,10
492,1.761742,8,10
529,1.880907,8,10
629,1.970825,8,10
715,2.09595,8,10
794,2.180797,8,10
859,2.357059,8,10
958,2.441743,8,10
1002,2.610706,8,10
1076,2.948053,8,10
1165,3.284659,8,10
1189,3.406717,8,10
1256,3.828897,8,10
1314,3.917395,8,10
1371,4.091447,8,10
1430,4.362027,8,10
1459,4.480865,8,10
1507,4.650719,8,10
1599,4.905606,8,10
1692,5.028805,8,10
1739,5.149642,8,10
1837,5.268335,8,10
1856,5.458851,8,10
1869,5.708593,8,10
1904,5.801864,8,10
1984,5.988516,8,10
2060,6.072732,8,10
2120,6.323443,8,10
2189,6.409118,8,10
2260,6.601314,8,10
2312,6.79184,8,10
2394,6.981284,8,10
2427,7.103249,8,10
2467,7.194562,8,10
2518,7.284355,8,10
2560,7.452049,8,10
2651,7.538111,8,10
2705,7.660673,8,10
2800,7.74791,8,10
2825,7.834412,8,10
2837,7.929924,8,10
2887,8.025845,8,10
2984,8.198721,8,10
3016,8.324828,8,10
3022,8.518447,8,10
3075,8.638196,8,10
3106,8.760929,8,10
3142,8.848131,8,10
3215,9.037476,8,10
3278,9.126444,8,10
3346,9.215539,8,10
3374,9.337902,8,10
3423,9.459762,8,10
3466,9.6515,8,10
3562,9.908797,8,10
