Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1716431,10,10
187,0.3431699,10,10
271,0.6876093,10,10
309,0.8102081,10,10
374,0.931708,10,10
473,1.02138,10,10
510,1.324927,10,10
610,1.410005,10,10
696,1.539154,10,10
775,1.627509,10,10
863,1.749542,10,10
941,2.053637,10,10
1035,2.225487,10,10
1099,2.317423,10,10
1154,2.436246,10,10
1241,2.743152,10,10
1311,2.864208,10,10
1316,2.987037,10,10
1391,3.114122,10,10
1463,3.36891,10,10
1504,3.556952,10,10
1536,3.813999,10,10
1586,3.938322,10,10
1683,4.111535,10,10
1714,4.201631,10,10
1750,4.292187,10,10
1803,4.382535,10,10
1809,4.501053,10,10
1870,4.839123,10,10
1916,4.928435,10,10
1978,5.048988,10,10
2074,5.237154,10,10
2117,5.489304,10,10
2166,5.677184,10,10
2194,5.801479,10,10
2262,5.927307,10,10
2335,6.101943,10,10
2398,6.188723,10,10
2423,6.453331,10,10
2435,6.540237,10,10
2530,6.660573,10,10
2584,6.754125,10,10
2675,6.875145,10,10
2717,6.960507,10,10
2768,7.131928,10,10
2850,7.309537,10,10
2890,7.393001,10,10
2942,7.559722,10,10
3031,7.747888,10,10
3055,7.876449,10,10
3058,7.963707,10,10
3080,8.054425,10,10
3160,8.174469,10,10
3236,8.264224,10,10
3307,8.452318,10,10
3376,8.63936,10,10
3436,8.722807,10,10
3471,8.91165,10,10
3564,9.032554,10,10
3656,9.156742,10,10
3712,9.332157,10,10
3759,9.570895,10,10
3798,9.757391,10,10
3864,9.845301,10,10
