Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1672234,10,10
150,0.5171386,10,10
232,0.6067389,10,10
258,0.793088,10,10
329,0.9821517,10,10
389,1.106381,10,10
458,1.193893,10,10
493,1.312653,10,10
512,1.613674,10,10
551,1.736975,10,10
617,1.827139,10,10
715,1.948928,10,10
762,2.072439,10,10
854,2.243349,10,10
947,2.368555,10,10
961,2.490588,10,10
1041,2.580762,10,10
1117,2.671455,10,10
1206,2.8592,10,10
1209,2.945932,10,10
1233,3.034183,10,10
1318,3.226818,10,10
1366,3.417888,10,10
1395,3.592065,10,10
1454,3.715664,10,10
1511,3.979736,10,10
1569,4.157744,10,10
1636,4.249334,10,10
1681,4.441855,10,10
1715,4.677658,10,10
1796,4.845785,10,10
1811,4.932129,10,10
1894,5.119025,10,10
1938,5.29089,10,10
1948,5.533767,10,10
1956,5.65567,10,10
2030,5.774925,10,10
2046,5.965873,10,10
2145,6.155555,10,10
2210,6.242177,10,10
2248,6.365933,10,10
2332,6.484305,10,10
2411,6.663432,10,10
2499,6.783319,10,10
2585,6.875682,10,10
2685,6.995335,10,10
2722,7.080758,10,10
2729,7.25031,10,10
2750,7.34129,10,10
2828,7.512367,10,10
2922,7.691955,10,10
2986,7.775389,10,10
3041,7.895238,10,10
3128,8.206795,10,10
3198,8.331025,10,10
3270,8.523091,10,10
3345,8.780394,10,10
3440,9.051238,10,10
3494,9.142134,10,10
3536,9.335271,10,10
3627,9.423488,10,10
3690,9.69303,10,10
3763,9.780066,10,10
3860,9.96862,10,10
