Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1698759,10,10
187,0.3365845,10,10
262,0.6056893,10,10
303,0.8451093,10,10
375,1.031792,10,10
462,1.282591,10,10
517,1.587421,10,10
581,1.71185,10,10
675,1.798652,10,10
696,2.138228,10,10
703,2.231401,10,10
803,2.423804,10,10
807,2.509314,10,10
895,2.642315,10,10
981,2.727752,10,10
1060,2.816146,10,10
1144,2.983305,10,10
1182,3.107931,10,10
1247,3.232002,10,10
1346,3.315942,10,10
1390,3.488416,10,10
1473,3.655093,10,10
1531,4.014391,10,10
1598,4.098428,10,10
1657,4.405406,10,10
1686,4.530221,10,10
1778,4.831087,10,10
1825,4.999442,10,10
1923,5.121094,10,10
1934,5.288868,10,10
2000,5.407766,10,10
2039,5.496855,10,10
2132,5.797407,10,10
2167,5.917627,10,10
2236,6.040489,10,10
2296,6.128816,10,10
2367,6.255213,10,10
2443,6.441692,10,10
2523,6.532274,10,10
2547,6.800024,10,10
2636,6.91839,10,10
2688,7.109257,10,10
2721,7.200915,10,10
2761,7.29038,10,10
2843,7.377728,10,10
2894,7.544623,10,10
2936,7.717573,10,10
3027,7.805853,10,10
3122,7.992475,10,10
3172,8.180865,10,10
3178,8.485646,10,10
3231,8.610729,10,10
3267,8.701498,10,10
3298,8.792277,10,10
3395,8.883728,10,10
3468,9.072758,10,10
3531,9.156425,10,10
3599,9.240935,10,10
3627,9.362142,10,10
3676,9.487612,10,10
3677,9.654468,10,10
3773,9.829334,10,10
