Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1707785,10,10
137,0.471927,10,10
221,0.5928885,10,10
320,0.8954658,10,10
385,0.9788299,10,10
471,1.169379,10,10
508,1.356768,10,10
608,1.449005,10,10
687,1.640971,10,10
775,1.762374,10,10
796,1.949719,10,10
874,2.116602,10,10
968,2.283947,10,10
1032,2.371757,10,10
1087,2.49517,10,10
1174,2.796332,10,10
1244,2.918596,10,10
1316,3.105875,10,10
1357,3.294816,10,10
1432,3.53229,10,10
1509,3.801631,10,10
1563,3.990579,10,10
1658,4.081533,10,10
1683,4.16663,10,10
1695,4.257184,10,10
1745,4.347447,10,10
1777,4.469364,10,10
1874,4.590826,10,10
1905,4.680239,10,10
1958,4.802373,10,10
1994,4.888398,10,10
2056,5.055727,10,10
2117,5.24413,10,10
2163,5.33326,10,10
2259,5.584755,10,10
2302,5.835195,10,10
2351,6.024811,10,10
2379,6.148742,10,10
2447,6.274292,10,10
2510,6.359789,10,10
2583,6.449933,10,10
2674,6.757638,10,10
2716,6.845876,10,10
2767,7.014233,10,10
2819,7.203498,10,10
2852,7.294266,10,10
2934,7.417192,10,10
2960,7.619093,10,10
3031,7.81283,10,10
3091,7.933086,10,10
3160,8.018367,10,10
3195,8.140846,10,10
3288,8.261362,10,10
3354,8.620665,10,10
3393,8.711002,10,10
3491,8.79706,10,10
3538,8.915326,10,10
3630,9.092884,10,10
3644,9.26649,10,10
3724,9.354567,10,10
3800,9.443029,10,10
3822,9.535217,10,10
3911,9.655145,10,10
3996,9.956011,10,10
