Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1699605,10,10
187,0.342557,10,10
214,0.598607,10,10
298,0.7223968,10,10
321,0.8501608,10,10
359,1.017086,10,10
438,1.137804,10,10
526,1.256123,10,10
612,1.340563,10,10
712,1.458844,10,10
777,1.650237,10,10
876,1.736266,10,10
920,1.909151,10,10
1003,2.08051,10,10
1084,2.349751,10,10
1118,2.522511,10,10
1163,2.759243,10,10
1221,2.931602,10,10
1278,3.100931,10,10
1345,3.35728,10,10
1404,3.663945,10,10
1452,3.788579,10,10
1481,3.956433,10,10
1537,4.211998,10,10
1629,4.381811,10,10
1722,4.500494,10,10
1735,4.68986,10,10
1795,4.858977,10,10
1866,4.982986,10,10
1946,5.224686,10,10
2022,5.313023,10,10
2111,5.503197,10,10
2163,5.690158,10,10
2196,5.774566,10,10
2236,5.859909,10,10
2287,5.946736,10,10
2369,6.121063,10,10
2460,6.426837,10,10
2502,6.515956,10,10
2556,6.706291,10,10
2651,6.791108,10,10
2726,7.060616,10,10
2731,7.178549,10,10
2801,7.300525,10,10
2888,7.423119,10,10
2960,7.676135,10,10
3001,7.866245,10,10
3051,8.057261,10,10
3083,8.179774,10,10
3180,8.30106,10,10
3211,8.389543,10,10
3247,8.479591,10,10
3300,8.566404,10,10
3361,8.840126,10,10
3407,8.929496,10,10
3469,9.052378,10,10
3565,9.249826,10,10
3566,9.417499,10,10
3594,9.686171,10,10
3643,9.805254,10,10
3706,9.995268,10,10
