Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.169347,10,10
187,0.3466494,10,10
229,0.6157841,10,10
320,0.7016665,10,10
374,0.8260517,10,10
469,0.9111918,10,10
519,1.103143,10,10
592,1.407918,10,10
655,1.494012,10,10
723,1.577811,10,10
772,1.747036,10,10
800,1.873631,10,10
882,2.11377,10,10
908,2.308695,10,10
979,2.50468,10,10
1039,2.625134,10,10
1108,2.708659,10,10
1201,2.95103,10,10
1248,3.075893,10,10
1287,3.267085,10,10
1353,3.356667,10,10
1451,3.4788,10,10
1507,3.748251,10,10
1599,3.925725,10,10
1679,4.18444,10,10
1755,4.273445,10,10
1844,4.467377,10,10
1868,4.594092,10,10
1942,4.858927,10,10
2027,5.16279,10,10
2075,5.35156,10,10
2142,5.698798,10,10
2200,5.788657,10,10
2257,5.961104,10,10
2302,6.204362,10,10
2320,6.402211,10,10
2354,6.494043,10,10
2435,6.669374,10,10
2450,6.763926,10,10
2533,6.951158,10,10
2577,7.124999,10,10
2676,7.296015,10,10
2741,7.382095,10,10
2841,7.576874,10,10
2878,7.671038,10,10
2882,7.796505,10,10
2970,7.929996,10,10
3049,8.056265,10,10
3135,8.140806,10,10
3173,8.332758,10,10
3257,8.453918,10,10
3284,8.578753,10,10
3293,8.70014,10,10
3368,8.895373,10,10
3455,9.252218,10,10
3510,9.56029,10,10
3574,9.685966,10,10
3668,9.776669,10,10
3746,9.949266,10,10
