Score, Time, FirstTargetPosX, FirstTargetPosY
90,0.1684398,8,10
167,0.3443781,8,10
262,0.5809193,8,10
316,0.6687967,8,10
407,0.7961532,8,10
449,0.8830801,8,10
500,1.05763,8,10
540,1.143952,8,10
622,1.227485,8,10
655,1.346647,8,10
707,1.43365,8,10
778,1.621266,8,10
838,1.742498,8,10
907,1.832955,8,10
946,2.183711,8,10
1012,2.271085,8,10
1110,2.396309,8,10
1157,2.516857,8,10
1249,2.686785,8,10
1342,2.811537,8,10
1418,3.080506,8,10
1498,3.165534,8,10
1587,3.402897,8,10
1672,3.70599,8,10
1730,4.008219,8,10
1797,4.098531,8,10
1842,4.28961,8,10
1923,4.463016,8,10
1938,4.550145,8,10
2021,4.738418,8,10
2120,5.076982,8,10
2185,5.16239,8,10
2285,5.350992,8,10
2322,5.438156,8,10
2406,5.869374,8,10
2444,5.994207,8,10
2523,6.115599,8,10
2609,6.199308,8,10
2697,6.290107,8,10
2775,6.594953,8,10
2869,6.767611,8,10
2933,6.853479,8,10
2988,6.980779,8,10
3075,7.281271,8,10
3145,7.409857,8,10
3217,7.602128,8,10
3267,7.976114,8,10
3299,8.096704,8,10
3305,8.285869,8,10
3341,8.472395,8,10
3394,8.561237,8,10
3425,8.679995,8,10
3522,8.76948,8,10
3595,8.961402,8,10
3658,9.046589,8,10
3726,9.138051,8,10
3754,9.257916,8,10
3803,9.381254,8,10
3846,9.578462,8,10
3942,9.82858,8,10
