Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
109,0.2423421,10,10
185,0.4295773,10,10
265,0.5150588,10,10
279,0.6038273,10,10
371,0.77771,10,10
464,0.8986975,10,10
511,1.025286,10,10
609,1.143164,10,10
675,1.265288,10,10
714,1.354744,10,10
733,1.477182,10,10
802,1.784336,10,10
862,1.876257,10,10
933,1.999234,10,10
985,2.193943,10,10
1018,2.284993,10,10
1069,2.404952,10,10
1109,2.494073,10,10
1191,2.578716,10,10
1219,2.819075,10,10
1268,2.94675,10,10
1311,3.13403,10,10
1407,3.385225,10,10
1468,3.725085,10,10
1514,3.810312,10,10
1576,3.931704,10,10
1629,4.119152,10,10
1665,4.203813,10,10
1696,4.295102,10,10
1793,4.383029,10,10
1866,4.573221,10,10
1929,4.663558,10,10
2024,5.015493,10,10
2049,5.108398,10,10
2103,5.231086,10,10
2194,5.357098,10,10
2236,5.442896,10,10
2326,5.710177,10,10
2403,5.888354,10,10
2408,6.26968,10,10
2478,6.395103,10,10
2565,6.518374,10,10
2629,6.869644,10,10
2723,6.96143,10,10
2801,7.12822,10,10
2808,7.381114,10,10
2908,7.569128,10,10
2996,7.761286,10,10
3082,7.845666,10,10
3161,7.929499,10,10
3199,8.049883,10,10
3283,8.172213,10,10
3306,8.293994,10,10
3405,8.598607,10,10
3449,8.766894,10,10
3532,8.939643,10,10
3547,9.130037,10,10
3628,9.220825,10,10
3673,9.391429,10,10
3740,9.580568,10,10
3825,9.849087,10,10
