Score, Time, FirstTargetPosX, FirstTargetPosY
90,0.1674653,8,10
167,0.3376336,8,10
221,0.5271384,8,10
316,0.6131228,8,10
407,0.8020399,8,10
449,0.8902346,8,10
500,1.063909,8,10
540,1.148129,8,10
573,1.235797,8,10
625,1.322575,8,10
714,1.510624,8,10
790,1.706802,8,10
870,1.796247,8,10
963,1.98882,8,10
1010,2.114626,8,10
1102,2.282039,8,10
1158,2.450353,8,10
1256,2.719135,8,10
1295,2.807893,8,10
1361,2.894722,8,10
1372,3.02174,8,10
1391,3.110858,8,10
1460,3.414983,8,10
1520,3.500826,8,10
1591,3.619915,8,10
1673,3.889269,8,10
1701,4.129122,8,10
1769,4.255159,8,10
1842,4.426526,8,10
1905,4.51668,8,10
1954,4.704395,8,10
1997,4.890736,8,10
2093,5.146733,8,10
2155,5.340394,8,10
2201,5.462812,8,10
2262,5.547254,8,10
2268,5.888752,8,10
2321,6.008671,8,10
2357,6.100046,8,10
2388,6.188833,8,10
2485,6.279549,8,10
2535,6.451771,8,10
2610,6.799442,8,10
2680,7.042637,8,10
2767,7.169207,8,10
2794,7.681009,8,10
2878,7.803278,8,10
2966,8.067245,8,10
3052,8.151759,8,10
3056,8.235181,8,10
3156,8.326271,8,10
3193,8.409952,8,10
3258,8.680804,8,10
3357,8.771262,8,10
3440,9.108065,8,10
3455,9.299613,8,10
3536,9.38805,8,10
3570,9.555398,8,10
3615,9.794072,8,10
3673,9.964502,8,10
