Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1722482,10,10
187,0.3397683,10,10
241,0.5296815,10,10
332,0.6496223,10,10
374,0.7390334,10,10
425,0.9121773,10,10
465,0.9964666,10,10
517,1.164218,10,10
550,1.253224,10,10
632,1.376393,10,10
660,1.615036,10,10
728,1.737022,10,10
801,1.904804,10,10
864,1.993659,10,10
913,2.181561,10,10
914,2.358598,10,10
1010,2.526496,10,10
1072,2.715727,10,10
1125,2.902744,10,10
1161,2.991077,10,10
1192,3.076195,10,10
1289,3.165805,10,10
1339,3.346369,10,10
1434,3.539071,10,10
1509,3.804085,10,10
1581,4.060666,10,10
1651,4.249651,10,10
1738,4.37196,10,10
1802,4.718159,10,10
1896,4.80554,10,10
1951,4.997929,10,10
2029,5.185856,10,10
2050,5.353261,10,10
2138,5.544429,10,10
2224,5.627775,10,10
2303,5.720913,10,10
2403,5.911397,10,10
2440,5.996356,10,10
2539,6.300346,10,10
2583,6.472811,10,10
2666,6.64515,10,10
2747,6.913694,10,10
2765,7.101675,10,10
2810,7.293864,10,10
2877,7.486784,10,10
2962,7.758444,10,10
3036,8.065909,10,10
3060,8.332219,10,10
3149,8.455137,10,10
3171,8.575555,10,10
3251,8.69663,10,10
3327,8.787694,10,10
3398,8.977502,10,10
3458,9.097658,10,10
3527,9.187884,10,10
3620,9.427685,10,10
3712,9.560412,10,10
3759,9.729565,10,10
3857,9.855243,10,10
3923,9.975568,10,10
