Score, Time, FirstTargetPosX, FirstTargetPosY
90,0.1729687,8,10
164,0.5543511,8,10
180,0.7467529,8,10
279,0.9382498,8,10
344,1.02535,8,10
382,1.143487,8,10
466,1.261813,8,10
545,1.433882,8,10
633,1.559541,8,10
719,1.654898,8,10
723,1.745618,8,10
823,1.832184,8,10
830,2.02139,8,10
851,2.108984,8,10
929,2.283913,8,10
1023,2.458809,8,10
1087,2.549189,8,10
1142,2.677496,8,10
1229,2.980027,8,10
1299,3.106656,8,10
1374,3.344461,8,10
1469,3.612782,8,10
1523,3.697432,8,10
1600,3.892488,8,10
1691,4.149335,8,10
1741,4.486295,8,10
1773,4.608911,8,10
1846,4.915174,8,10
1895,5.153543,8,10
1896,5.325892,8,10
1958,5.513848,8,10
2054,5.708344,8,10
2117,6.066678,8,10
2185,6.155168,8,10
2267,6.421494,8,10
2309,6.660924,8,10
2360,6.829342,8,10
2400,6.919858,8,10
2433,7.014308,8,10
2485,7.104582,8,10
2565,7.358622,8,10
2657,7.612454,8,10
2713,7.78063,8,10
2779,8.117713,8,10
