Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1735159,10,10
187,0.3415434,10,10
241,0.5365654,10,10
332,0.6583544,10,10
374,0.7421539,10,10
425,0.9130738,10,10
465,0.9995159,10,10
498,1.083511,10,10
550,1.167847,10,10
632,1.359774,10,10
700,1.637496,10,10
763,1.725196,10,10
836,1.812781,10,10
864,2.082061,10,10
913,2.20407,10,10
914,2.37434,10,10
1010,2.548438,10,10
1072,2.735955,10,10
1133,2.924985,10,10
1179,3.012927,10,10
1232,3.268431,10,10
1268,3.353183,10,10
1365,3.527424,10,10
1397,3.650823,10,10
1447,3.778135,10,10
1459,3.867697,10,10
1554,3.992878,10,10
1595,4.274667,10,10
1670,4.51712,10,10
1740,4.755215,10,10
1827,4.877144,10,10
1882,5.178734,10,10
1946,5.304294,10,10
2040,5.391566,10,10
2061,5.726335,10,10
2149,5.916757,10,10
2248,6.262042,10,10
2322,6.640235,10,10
2389,6.987916,10,10
2447,7.078547,10,10
2506,7.342673,10,10
2554,7.461853,10,10
2639,7.651825,10,10
2663,7.841319,10,10
2752,7.963972,10,10
2832,8.205699,10,10
2892,8.47062,10,10
2961,8.562687,10,10
2996,8.68505,10,10
3062,9.06115,10,10
3101,9.150969,10,10
3199,9.234412,10,10
3291,9.50029,10,10
3338,9.67942,10,10
3431,9.808545,10,10
