Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1683711,10,10
187,0.3367367,10,10
196,0.5276622,10,10
271,0.7226246,10,10
341,0.9594698,10,10
428,1.085408,10,10
483,1.389185,10,10
547,1.514699,10,10
641,1.600155,10,10
719,1.772993,10,10
740,1.945475,10,10
819,2.25685,10,10
823,2.430722,10,10
923,2.522165,10,10
1009,2.646895,10,10
1108,2.916901,10,10
1182,3.297029,10,10
1267,3.603703,10,10
1291,3.791093,10,10
1380,3.912833,10,10
1456,4.107385,10,10
1536,4.197619,10,10
1571,4.385254,10,10
1664,4.509969,10,10
1756,4.633778,10,10
1812,4.805711,10,10
1910,5.071786,10,10
1976,5.195562,10,10
1987,5.32162,10,10
2006,5.407437,10,10
2045,5.52802,10,10
2092,5.721724,10,10
2105,5.908797,10,10
2174,5.996438,10,10
2234,6.091722,10,10
2305,6.215024,10,10
2331,6.402376,10,10
2413,6.592484,10,10
2453,6.681367,10,10
2505,6.850936,10,10
2538,6.940754,10,10
2589,7.066549,10,10
2631,7.237071,10,10
2722,7.322215,10,10
2776,7.445705,10,10
2871,7.543126,10,10
2896,7.633603,10,10
2908,7.718492,10,10
2949,7.95578,10,10
2999,8.146682,10,10
3096,8.315835,10,10
3149,8.509723,10,10
3185,8.5954,10,10
3216,8.687454,10,10
3289,8.862456,10,10
3357,9.032515,10,10
3420,9.117665,10,10
3469,9.312371,10,10
3497,9.434475,10,10
3498,9.69964,10,10
3594,9.87486,10,10
