Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1721173,10,10
187,0.3464524,10,10
262,0.6102467,10,10
334,0.8641722,10,10
421,1.115916,10,10
515,1.548481,10,10
593,1.719119,10,10
681,2.026747,10,10
781,2.213244,10,10
867,2.333238,10,10
946,2.425521,10,10
1030,2.597014,10,10
1068,2.71789,10,10
1133,2.836759,10,10
1232,2.92622,10,10
1276,3.09701,10,10
1359,3.269232,10,10
1374,3.461493,10,10
1455,3.551361,10,10
1500,3.724942,10,10
1558,3.895143,10,10
1625,3.98747,10,10
1710,4.257357,10,10
1713,4.493351,10,10
1802,4.580554,10,10
1882,4.821891,10,10
1917,5.011534,10,10
2010,5.130987,10,10
2102,5.250616,10,10
2149,5.423432,10,10
2215,5.66725,10,10
2313,5.790634,10,10
2373,6.212247,10,10
2444,6.347852,10,10
2520,6.540869,10,10
2572,6.709544,10,10
2654,6.895916,10,10
2694,6.980553,10,10
2745,7.065095,10,10
2787,7.233209,10,10
2878,7.317692,10,10
2932,7.436714,10,10
3027,7.523437,10,10
3039,7.647435,10,10
3070,7.91538,10,10
3143,8.087507,10,10
3206,8.174959,10,10
3274,8.265043,10,10
3302,8.389538,10,10
3351,8.512527,10,10
3394,8.701833,10,10
3490,8.956943,10,10
3536,9.213385,10,10
3597,9.299755,10,10
3659,9.488652,10,10
3712,9.680203,10,10
3748,9.764907,10,10
3845,9.939906,10,10
