Score, Time, FirstTargetPosX, FirstTargetPosY
90,0.1719989,8,10
167,0.3423487,8,10
242,0.6113284,8,10
247,0.7296209,8,10
317,0.852668,8,10
404,0.9728373,8,10
498,1.399271,8,10
562,1.483382,8,10
617,1.607036,8,10
695,1.799714,8,10
783,2.106132,8,10
820,2.347914,8,10
920,2.435968,8,10
1006,2.558161,8,10
1085,2.644239,8,10
1169,2.816256,8,10
1234,3.052417,8,10
1333,3.142566,8,10
1341,3.499068,8,10
1415,3.622586,8,10
1435,3.858341,8,10
1486,4.127181,8,10
1526,4.217531,8,10
1559,4.305804,8,10
1611,4.391053,8,10
1700,4.583229,8,10
1722,4.706837,8,10
1802,4.831134,8,10
1878,4.918499,8,10
1970,5.253547,8,10
2026,5.427116,8,10
2124,5.698007,8,10
2135,5.872521,8,10
2154,5.968556,8,10
2193,6.0938,8,10
2259,6.182026,8,10
2306,6.432785,8,10
2399,6.555285,8,10
2468,6.795045,8,10
2528,6.885634,8,10
2599,7.006545,8,10
2681,7.275054,8,10
2723,7.512743,8,10
2814,7.596408,8,10
2868,7.719999,8,10
2963,7.803416,8,10
2975,7.923995,8,10
3025,8.013085,8,10
3057,8.140143,8,10
3063,8.331643,8,10
3116,8.45612,8,10
3152,8.540257,8,10
3183,8.630547,8,10
3280,8.713935,8,10
3353,8.903929,8,10
3416,8.988379,8,10
3484,9.077533,8,10
3512,9.195997,8,10
3555,9.449605,8,10
3604,9.643204,8,10
3700,9.880014,8,10
