Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1668296,10,10
194,0.5147142,10,10
271,0.8658703,10,10
325,1.053214,10,10
420,1.137187,10,10
511,1.331446,10,10
553,1.41801,10,10
604,1.592167,10,10
644,1.675911,10,10
726,1.764557,10,10
754,2.001817,10,10
803,2.125651,10,10
871,2.307995,10,10
934,2.395164,10,10
1007,2.483886,10,10
1008,2.657357,10,10
1104,2.827156,10,10
1166,3.014264,10,10
1227,3.206764,10,10
1280,3.473451,10,10
1316,3.563701,10,10
1347,3.648038,10,10
1444,3.736316,10,10
1485,4.080733,10,10
1557,4.272426,10,10
1627,4.464468,10,10
1714,4.583001,10,10
1778,4.932405,10,10
1872,5.02097,10,10
1950,5.190255,10,10
2038,5.495702,10,10
2124,5.585773,10,10
2161,5.77569,10,10
2261,5.860035,10,10
2340,6.050874,10,10
2405,6.220934,10,10
2504,6.310168,10,10
2587,6.651046,10,10
2668,6.920294,10,10
2702,7.089722,10,10
2720,7.176723,10,10
2765,7.374031,10,10
2822,7.615633,10,10
2880,7.788475,10,10
2947,7.874618,10,10
2957,8.067959,10,10
3046,8.604512,10,10
3079,8.84184,10,10
3131,8.930081,10,10
3207,9.101463,10,10
3287,9.187735,10,10
3380,9.379045,10,10
3472,9.49829,10,10
3519,9.671549,10,10
3617,9.790366,10,10
3683,9.913614,10,10
